Año,Semana,Entidad,Ax_003,Valor
2014,sem08,Campeche,H,4
2014,sem08,Campeche,M,3
2014,sem08,Coahuila,Sem.,4
2014,sem08,Coahuila,H,3
2014,sem08,Coahuila,M,6
2014,sem08,Colima,Sem.,0
2014,sem08,Colima,H,0
2014,sem08,Colima,M,2
2014,sem08,Chiapas,Sem.,2
2014,sem08,Chiapas,H,3
2014,sem08,Chiapas,M,3
2014,sem08,Chihuahua,Sem.,5
2014,sem08,Chihuahua,H,1
2014,sem08,Chihuahua,M,10
2014,sem08,Ciudad de México,Sem.,1
2014,sem08,Ciudad de México,H,5
2014,sem08,Ciudad de México,M,4
2014,sem08,Durango,Sem.,0
2014,sem08,Durango,H,2
2014,sem08,Durango,M,3
2014,sem08,Guanajuato,Sem.,0
2014,sem08,Guanajuato,H,0
2014,sem08,Guanajuato,M,1
2014,sem08,Guerrero,Sem.,0
2014,sem08,Guerrero,H,2
2014,sem08,Guerrero,M,4
2014,sem08,Hidalgo,Sem.,0
2014,sem08,Hidalgo,H,0
2014,sem08,Hidalgo,M,0
2014,sem08,Jalisco,Sem.,1
2014,sem08,Jalisco,H,1
2014,sem08,Jalisco,M,3
2014,sem08,México,Sem.,3
2014,sem08,México,H,10
2014,sem08,México,M,14
2014,sem08,Michoacán,Sem.,2
2014,sem08,Michoacán,H,6
2014,sem08,Michoacán,M,7
2014,sem08,Morelos,Sem.,1
2014,sem08,Morelos,H,0
2014,sem08,Morelos,M,4
2014,sem08,Nayarit,Sem.,0
2014,sem08,Nayarit,H,0
2014,sem08,Nayarit,M,6
2014,sem08,Nuevo León,Sem.,2
2014,sem08,Nuevo León,H,7
2014,sem08,Nuevo León,M,14
2014,sem08,Oaxaca,Sem.,1
2014,sem08,Oaxaca,H,3
2014,sem08,Oaxaca,M,3
2014,sem08,Puebla,Sem.,0
2014,sem08,Puebla,H,0
2014,sem08,Puebla,M,0
2014,sem08,Querétaro,Sem.,0
2014,sem08,Querétaro,H,0
2014,sem08,Querétaro,M,0
2014,sem08,Quintana Roo,Sem.,0
2014,sem08,Quintana Roo,H,1
2014,sem08,Quintana Roo,M,4
2014,sem08,San Luis Potosí,Sem.,0
2014,sem08,San Luis Potosí,H,2
2014,sem08,San Luis Potosí,M,1
2014,sem08,Sinaloa,Sem.,3
2014,sem08,Sinaloa,H,7
2014,sem08,Sinaloa,M,14
2014,sem08,Sonora,Sem.,5
2014,sem08,Sonora,H,11
2014,sem08,Sonora,M,12
2014,sem08,Tabasco,Sem.,0
2014,sem08,Tabasco,H,0
2014,sem08,Tabasco,M,1
2014,sem08,Tamaulipas,Sem.,2
2014,sem08,Tamaulipas,H,6
2014,sem08,Tamaulipas,M,8
2014,sem08,Tlaxcala,Sem.,0
2014,sem08,Tlaxcala,H,0
2014,sem08,Tlaxcala,M,0
2014,sem08,Veracruz,Sem.,0
2014,sem08,Veracruz,H,2
2014,sem08,Veracruz,M,2
2014,sem08,Yucatán,Sem.,3
2014,sem08,Yucatán,H,4
2014,sem08,Yucatán,M,4
2014,sem08,Zacatecas,Sem.,1
2014,sem08,Zacatecas,H,0
2014,sem08,Zacatecas,M,1
2014,sem09,Aguascalientes,Sem.,0
2014,sem09,Aguascalientes,H,0
2014,sem09,Aguascalientes,M,0
2014,sem09,Baja California,Sem.,0
2014,sem09,Baja California,H,4
2014,sem09,Baja California,M,15
2014,sem09,Baja California Sur,Sem.,0
2014,sem09,Baja California Sur,H,0
2014,sem09,Baja California Sur,M,0
2014,sem09,Campeche,Sem.,0
2014,sem09,Campeche,H,4
2014,sem09,Campeche,M,3
2014,sem09,Coahuila,Sem.,0
2014,sem09,Coahuila,H,3
2014,sem09,Coahuila,M,6
2014,sem09,Colima,Sem.,0
2014,sem09,Colima,H,0
2014,sem09,Colima,M,2
2014,sem09,Chiapas,Sem.,2
