Year,Week,Date,Entity,M,F
2018,27,2018-07-08,Aguascalientes,2,0
2018,28,2018-07-15,Aguascalientes,0,0
2018,29,2018-07-22,Aguascalientes,0,0
2018,30,2018-07-29,Aguascalientes,0,0
2018,31,2018-08-05,Aguascalientes,0,0
2018,32,2018-08-12,Aguascalientes,1,0
2018,33,2018-08-19,Aguascalientes,0,0
2018,34,2018-08-26,Aguascalientes,0,0
2018,35,2018-09-02,Aguascalientes,1,1
2018,36,2018-09-09,Aguascalientes,1,1
2018,37,2018-09-16,Aguascalientes,0,0
2018,38,2018-09-23,Aguascalientes,1,1
2018,39,2018-09-30,Aguascalientes,0,0
2018,40,2018-10-07,Aguascalientes,0,0
2018,41,2018-10-14,Aguascalientes,0,0
2018,42,2018-10-21,Aguascalientes,4,1
2018,43,2018-10-28,Aguascalientes,0,0
2018,44,2018-11-04,Aguascalientes,1,0
2018,45,2018-11-11,Aguascalientes,0,0
2018,46,2018-11-18,Aguascalientes,0,0
2018,47,2018-11-25,Aguascalientes,0,0
2018,48,2018-12-02,Aguascalientes,0,0
2018,49,2018-12-09,Aguascalientes,0,0
2018,50,2018-12-16,Aguascalientes,0,0
2018,51,2018-12-23,Aguascalientes,0,0
2018,52,2018-12-30,Aguascalientes,0,0
2019,1,2019-01-06,Aguascalientes,0,0
2019,2,2019-01-13,Aguascalientes,0,1
2019,3,2019-01-20,Aguascalientes,0,0
2019,4,2019-01-27,Aguascalientes,0,1
2019,5,2019-02-03,Aguascalientes,0,0
2019,6,2019-02-10,Aguascalientes,0,0
2019,7,2019-02-17,Aguascalientes,0,0
2019,8,2019-02-24,Aguascalientes,0,1
2019,9,2019-03-03,Aguascalientes,1,1
2019,10,2019-03-10,Aguascalientes,0,0
2019,11,2019-03-17,Aguascalientes,0,0
2019,12,2019-03-24,Aguascalientes,1,0
2019,13,2019-03-31,Aguascalientes,0,0
2019,14,2019-04-07,Aguascalientes,0,0
2019,15,2019-04-14,Aguascalientes,1,0
2019,16,2019-04-21,Aguascalientes,1,0
2019,17,2019-04-28,Aguascalientes,0,0
2019,18,2019-05-05,Aguascalientes,0,0
2019,19,2019-05-12,Aguascalientes,0,0
2019,20,2019-05-19,Aguascalientes,0,0
2019,21,2019-05-26,Aguascalientes,0,1
2019,22,2019-06-02,Aguascalientes,0,0
2019,23,2019-06-09,Aguascalientes,0,0
2019,24,2019-06-16,Aguascalientes,1,0
2019,25,2019-06-23,Aguascalientes,0,1
2019,26,2019-06-30,Aguascalientes,0,0
2019,27,2019-07-07,Aguascalientes,0,0
2019,28,2019-07-14,Aguascalientes,0,0
2019,29,2019-07-21,Aguascalientes,0,0
2019,30,2019-07-28,Aguascalientes,0,1
2019,31,2019-08-04,Aguascalientes,0,0
2019,32,2019-08-11,Aguascalientes,0,0
